,architecture,amp,phase,lr,seed,accuracy,correlation,category
0,dfa,0.01,0,1.0,1196,0.9635,0.5781680201763307,0.6
1,dfa,0.01,0,1.0,1203,0.8416,-0.2771167225067526,-0.2
2,dfa,0.01,0,1.0,1264,0.9542,0.12290752127059404,0.2
3,dfa,0.01,0,1.0,1518,0.9688,0.3551399848889417,0.4
4,dfa,0.01,0,1.0,19,0.9441,-0.2356664029927263,-0.2
5,dfa,0.01,0,1.0,1941,0.7593,-0.5101088702120291,-0.4
6,dfa,0.01,0,1.0,226,0.97,0.1858872795329236,0.2
7,dfa,0.01,0,1.0,25,0.95,-0.1869098621336133,0.0
8,dfa,0.01,0,1.0,325,0.9756,0.4853246237967619,0.6
9,dfa,0.01,0,1.0,3648,0.9668,0.032490873017800105,0.2
10,dfa,0.01,0,1.0,4208,0.9728,-0.07584619742498147,0.0
11,dfa,0.01,0,1.0,4257,0.8843,-0.3240438023056247,-0.2
12,dfa,0.01,0,1.0,4867,0.7495,-0.5994774488837241,-0.4
13,dfa,0.01,0,1.0,4924,0.7806,-0.5642574604576328,-0.4
14,dfa,0.01,0,1.0,5054,0.9659,0.3177653819138807,0.4
15,dfa,0.01,0,1.0,517,0.6561,-0.45334310867844935,-0.4
16,dfa,0.01,0,1.0,5757,0.955,-0.005698444272513302,0.0
17,dfa,0.01,0,1.0,5777,0.9534,0.008533122530528535,0.2
18,dfa,0.01,0,1.0,6197,0.9744,0.5035452249110275,0.6
19,dfa,0.01,0,1.0,6487,0.9677,0.28435427778364214,0.4
20,dfa,0.01,0,1.0,6502,0.9259,-0.36553219914317386,-0.2
21,dfa,0.01,0,1.0,672,0.9592,-0.11044762044693517,0.0
22,dfa,0.01,0,1.0,7295,0.9731,0.46567327681107507,0.6
23,dfa,0.01,0,1.0,7816,0.8062,-0.5363436417085801,-0.4
24,dfa,0.01,0,1.0,82,0.978,0.3984021764818599,0.4
25,dfa,0.01,0,1.0,9308,0.9744,0.5467269129781724,0.6
26,dfa,0.01,0,1.0,9462,0.6995,-0.3946443240014076,-0.2
27,dfa,0.01,0,1.0,9670,0.9491,0.23814362391423882,0.4
28,dfa,0.01,0,1.0,9809,0.9638,-0.026654850066921008,0.0
29,dfa,0.01,0,1.0,9972,0.9569,0.06577381262054297,0.2
